rpi,wp,pyth,cwg,tpf,tpa,nv,nl,avgmv
12,15,16,19,20,24,15,17,16
16,16,17,22,23,27,17,17,17
7,10,10,15,17,21,9,17,12
15,16,16,22,23,27,17,18,16
11,15,17,16,21,25,16,19,16
15,13,14,24,23,28,15,20,15
2,3,3,3,5,8,1,7,6
2,3,3,15,20,28,7,29,7
11,9,8,19,20,25,11,23,12
8,7,6,18,20,26,9,24,10
13,13,13,20,22,26,15,21,14
24,22,26,23,25,26,24,13,22
17,17,18,24,23,26,18,17,17
23,19,22,21,24,27,20,16,20
16,13,12,24,21,26,14,21,14
15,18,20,23,25,29,19,17,18
21,17,21,20,24,27,19,18,19
20,18,20,21,24,27,19,17,18
8,7,6,11,13,17,6,16,10
11,14,15,16,18,22,12,16,15
7,12,10,20,22,28,14,22,12
8,11,11,19,22,27,13,21,13
7,9,10,17,21,26,11,22,12
12,11,11,21,22,27,14,22,13
29,29,29,20,28,27,29,6,28
21,18,21,18,23,26,18,16,19
2,4,4,7,8,12,3,12,8
18,21,22,29,23,26,21,13,20
28,27,28,21,27,27,27,8,26
15,12,12,19,23,28,14,22,14
10,13,12,20,22,27,14,20,14
9,12,12,19,21,26,13,20,14
9,11,11,16,21,26,13,21,13
7,11,9,19,21,26,12,21,12
7,12,13,10,15,18,9,14,14
13,14,13,22,23,27,15,19,14
9,13,12,20,24,29,15,20,14
3,3,2,6,10,14,3,13,5
14,15,16,24,22,26,16,18,16
25,22,26,19,26,27,23,13,23
11,7,6,17,21,28,10,26,10
10,10,9,21,22,27,12,23,12
12,11,11,20,21,26,13,22,13
19,16,19,20,23,26,17,18,18
10,12,12,19,21,26,13,20,14
12,14,16,20,22,26,15,19,16
12,12,11,20,22,28,14,22,13
23,22,25,24,24,26,22,12,22
15,15,15,24,23,27,15,18,16
24,22,26,20,27,28,22,13,23
19,17,17,24,23,27,18,18,17
9,12,12,20,21,26,13,20,14
2,3,2,17,20,27,7,29,6
23,24,27,22,26,27,25,11,24
8,11,10,19,22,28,13,22,12
22,19,22,21,23,26,19,15,19
17,16,18,22,21,24,17,18,17
21,17,18,20,23,27,18,18,17
25,24,27,19,24,25,24,11,23
14,16,17,21,22,26,16,17,17
21,18,20,22,23,26,19,17,19
21,19,22,22,24,27,20,15,20
21,19,21,24,25,27,20,16,19
23,20,23,23,26,29,21,15,21
8,9,9,21,21,27,11,23,12
18,18,20,21,24,27,19,17,19
10,12,11,20,21,26,14,22,13
12,17,18,22,21,25,17,15,17
10,13,14,20,21,25,13,19,15
10,11,10,17,21,26,12,21,12
6,10,9,22,22,28,13,24,12
2,0,0,1,1,3,0,3,0
6,12,10,18,22,27,14,21,13
9,11,11,18,21,27,13,22,13
16,23,24,24,24,26,22,11,22
8,9,10,6,10,12,5,11,12
12,17,22,6,9,10,7,6,20
9,7,8,15,20,26,10,25,12
7,10,10,0,0,0,0,0,13
8,11,12,18,20,25,13,21,14
5,8,6,17,21,27,10,25,10
4,6,2,4,5,7,2,7,6
22,18,22,20,25,28,19,17,19
7,10,8,3,2,3,1,2,11
2,3,1,0,1,1,0,1,3
20,15,17,16,23,26,17,19,17
18,18,19,21,24,27,19,16,18
7,6,5,16,19,26,9,26,9
21,22,24,24,25,27,22,12,22
18,18,19,24,24,27,18,16,18
12,13,12,21,18,22,12,17,14
14,17,16,29,25,29,18,18,16
7,6,4,16,19,26,8,24,8
0,3,2,3,6,9,2,10,6
7,12,10,22,20,25,12,19,12
28,25,27,20,28,29,25,10,24
4,10,7,4,4,5,2,4,10
4,5,3,6,8,11,3,12,7
12,11,10,23,22,28,13,20,12
13,12,11,22,22,27,14,22,13
11,14,15,17,21,26,14,18,15
17,16,17,27,22,25,17,17,17
16,11,11,18,20,25,13,22,13
9,12,10,21,22,27,13,20,13
23,20,23,21,25,27,20,14,20
13,15,15,18,20,24,13,15,15
17,17,18,24,24,28,19,17,18
24,22,25,20,24,26,23,13,22
24,22,25,22,25,26,22,13,22
24,22,24,23,25,26,22,13,21
17,18,21,22,23,26,20,16,19
14,19,22,21,24,27,19,15,19
20,18,20,22,24,28,19,16,19
15,9,10,15,21,26,12,24,12
15,19,21,22,22,24,18,15,19
15,18,19,19,21,24,18,16,18
18,12,12,18,21,26,14,22,14
14,11,11,22,23,28,13,22,13
24,23,25,20,24,26,23,12,22
11,10,9,18,21,26,12,23,12
9,12,13,19,20,24,12,18,14
3,5,2,17,20,28,8,26,5
5,4,3,5,5,8,2,8,8
15,20,22,23,18,20,18,13,19
20,15,18,18,24,28,17,19,17
23,20,23,18,24,26,21,15,20
9,13,14,20,19,23,12,16,15
8,12,11,20,21,26,13,20,13
16,14,15,24,24,28,16,20,15
12,9,10,17,21,26,12,23,12
17,17,18,25,22,26,18,17,17
14,17,16,26,24,28,18,18,16
10,14,14,25,23,27,16,19,15
18,12,13,20,21,26,14,22,14
7,14,12,23,22,26,15,19,14
10,12,13,7,9,11,6,9,15
18,18,18,25,23,26,19,17,17
7,9,9,14,17,22,9,19,11
12,16,15,23,21,25,15,16,16
10,14,14,22,19,23,14,19,15
14,13,14,23,22,26,14,20,15
19,17,17,22,22,26,17,16,17
14,13,13,21,22,26,14,20,14
11,6,6,18,20,26,9,26,10
13,15,16,20,21,24,15,18,16
15,15,14,21,22,26,16,19,15
4,4,0,9,11,16,5,17,4
5,6,6,5,6,8,2,8,10
8,10,9,19,19,24,11,20,12
8,9,9,16,21,27,11,23,12
8,11,12,4,5,6,2,5,14
20,15,17,20,23,27,16,19,17
10,15,17,18,19,22,14,16,17
14,16,17,22,25,29,18,18,17
13,13,14,20,21,25,14,20,15
15,17,17,24,21,24,17,16,17
20,15,18,21,23,27,17,19,17
5,11,13,3,4,5,2,4,14
17,12,14,16,22,26,14,22,15
17,15,16,20,21,25,16,18,16
4,10,10,17,21,26,12,21,13
9,9,9,15,20,25,11,22,12
14,12,12,20,22,27,14,21,14
9,13,13,21,22,27,14,20,14
7,7,6,16,20,26,10,25,10
21,15,16,22,23,27,17,19,16
20,18,20,23,24,27,19,16,18
19,17,18,20,21,25,18,18,17
16,18,20,20,23,26,18,16,18
10,8,9,18,21,27,11,25,12
23,23,26,19,24,26,22,11,23
6,9,7,16,20,26,10,23,11
8,11,10,15,15,19,10,17,13
26,25,26,27,27,28,26,10,23
9,12,13,15,16,19,9,15,14
16,14,16,20,25,29,15,21,16
22,21,23,24,23,26,22,14,20
24,20,22,26,25,27,21,14,20
9,9,8,21,22,28,11,23,11
11,14,13,21,22,27,15,18,15
25,23,25,21,27,28,24,12,23
19,15,17,18,22,26,16,19,17
8,10,11,16,21,26,11,20,13
20,16,16,17,25,29,17,19,16
7,6,5,13,20,27,8,24,9
13,13,13,19,22,27,15,20,14
10,6,6,17,21,28,10,27,10
11,14,12,24,23,28,14,19,14
14,12,13,20,21,26,14,21,14
19,20,23,22,24,27,21,15,20
5,5,4,12,19,26,7,25,8
5,10,8,21,21,27,12,23,11
19,19,21,27,24,27,20,16,19
6,6,6,7,10,13,4,13,9
12,13,12,23,21,26,14,20,14
7,5,4,14,13,17,6,18,9
13,16,17,18,22,26,17,17,17
24,22,23,29,25,28,22,13,20
14,15,15,26,22,27,16,18,16
9,8,7,18,21,27,10,23,10
7,8,8,19,21,26,11,24,11
10,13,10,18,21,27,14,19,12
10,10,9,17,22,28,12,23,12
16,15,14,22,21,26,16,19,15
22,22,23,24,25,27,22,13,20
20,15,17,22,24,28,17,19,17
10,13,13,21,21,25,13,18,14
10,13,13,22,21,26,13,19,14
22,20,23,18,22,24,20,14,20
20,25,26,25,23,25,24,10,23
7,15,17,10,9,11,7,7,16
17,17,19,19,23,26,18,17,18
19,21,23,25,25,27,22,13,20
15,20,20,22,24,27,20,15,19
23,19,21,23,25,28,20,16,19
14,20,20,22,23,26,20,14,19
24,21,23,20,25,28,21,14,20
21,16,19,20,23,27,17,18,18
18,15,17,20,23,26,17,19,17
7,8,7,16,22,28,10,22,10
9,9,7,17,21,27,11,23,11
7,8,7,17,19,25,10,23,11
17,19,20,24,24,27,19,15,18
14,16,17,23,23,27,17,18,16
3,3,1,2,3,4,0,5,4
10,14,14,22,23,27,15,19,15
23,19,21,22,24,28,20,15,19
21,19,20,21,25,29,19,16,19
17,12,15,16,21,26,14,21,15
14,19,19,24,22,26,18,14,18
21,18,21,21,24,27,19,16,19
15,15,16,23,21,25,16,18,16
14,14,13,21,21,26,15,19,15
17,17,20,20,23,26,18,17,18
12,9,10,19,20,26,11,23,12
11,16,16,20,20,24,16,16,16
25,23,26,22,22,23,23,12,22
10,9,8,16,20,25,11,22,12
14,15,14,24,21,25,16,19,15
17,15,16,22,22,26,16,18,16
23,24,26,21,25,27,24,11,23
10,11,11,17,19,24,12,20,13
9,8,8,18,20,25,10,24,11
